"timeSeriesId","t","R","G","B"
"1",0,-2.92659809557123,1.59714119422419,0.284158237807939
"1",1,-2.92659809557123,2.2950173398667,0.0913223122430567
"1",2,-1.91951574999317,1.40648395179257,-0.152577904713907
"1",3,-1.18685640443568,1.35013679810106,0.0501573789848486
"1",4,-0.300514362927173,2.13438105079021,0.172024772578682
"1",5,0.161992606387767,0.358476492575638,-0.0362271317916709
"1",6,0.716127231931703,-0.42763955230861,-0.10435783431542
"1",7,0.914339889738845,0.213987245655416,0.338997126591474
"1",8,0.95403173741821,0.200549411407664,0.669865050837462
"1",9,0.986480517596433,0.131294405109339,0.712065938375022
"1",10,1.03263826842149,0.519012970573541,0.698351425516115
"1",11,0.62869755813518,0.446899127610546,1.07985906983462
"1",12,0.693770808581596,0.43479687668049,1.001727820868
"1",13,0.368409725900435,0.495635138095535,0.919365821896437
"1",14,0.356549394976537,0.471734500090368,1.36846712943747
"1",15,0.594465029345507,0.519802141817713,1.33184706699871
"1",16,0.479910493529186,0.691053059124797,1.4908259778715
"1",17,0.469653789583183,0.0611448594049295,1.43980630407661
"1",18,0.724781251185848,0.202325097378655,1.03657973781768
"1",19,0.392828226456567,0.508534851148428,0.932349856958538
"1",20,0.415826264289798,0.0761976631411121,0.754859620677931
"1",21,0.7023460684208,0.398904018404715,0.672189849176456
"1",22,1.22525022313533,0.424015185730237,-0.900604947823978
"1",23,1.45864026908999,-1.32531954080735,0.524171637591071
"1",24,1.77700307596209,-0.44166043016215,-1.19781104017802
"1",25,1.70707977557881,-0.553595917653954,-0.861148043025798
"1",26,1.71520815829561,-0.631369465053962,-0.377016174547511
"1",27,1.72523998587691,-1.04444094006105,-0.715938387645143
"1",28,1.91572778716407,-1.49260362528036,-1.56331132283138
"1",29,1.70310051186784,-3.33873415757911,-0.785570465207444
"1",30,1.80803788284145,-4.55000104951948,0.0570598520512258
"1",31,1.84626004977501,-2.05308493204563,0.796342639751089
"1",32,1.63017666596998,-1.6737617097558,0.873093282441616
"1",33,1.48941299263279,-1.80385763714389,1.11509215107578
"1",34,1.74499144063181,-1.94212701629038,0.702349839505332
"1",35,1.60736933191015,-1.90622005686695,0.462749316969058
"1",36,1.81346868673,-1.40431519730005,0.702620548465016
"1",37,1.72940312913636,-1.065958929709,1.15762776567125
"1",38,1.64371185034949,-1.21539181839712,0.982064245383208
"1",39,1.48958045161098,-0.971021576767621,1.09426899751147
"1",40,1.29223402268921,-0.750792352292761,1.42456070276278
"1",41,1.06834027378585,-0.349033720505873,1.1683971597903
"1",42,0.850233385805387,0.164803364662897,1.19926603276908
"1",43,0.70431602481279,0.402111666617142,1.17905958524566
"1",44,0.493460920356657,0.843027468407728,1.49356153502093
"1",45,0.396429521881371,0.661720628820637,1.0951992171853
"1",46,0.336683119772495,0.843393725480963,0.924227911508985
"1",47,0.419483260663173,0.571261023068186,1.33547722055271
"1",48,-0.154948350121408,0.738698260117928,1.40803064715153
"1",49,-0.284500801730343,0.904524235721554,0.983892934433491
"1",50,0.0534083467295611,0.194122947072936,0.900679136361341
"1",51,0.473989376214376,0.823529305950102,1.00723189309152
"1",52,0.571631657880345,0.453193418196614,1.14942970726792
"1",53,0.420498982021254,0.813547254187193,0.876608624320807
"1",54,0.53449219998546,0.275763285410057,0.498987381942364
"1",55,0.650147894977715,0.572671022152896,0.800543307855887
"1",56,0.957424656119049,-0.242589278209204,0.747578111140484
"1",57,1.14593932316187,-1.540345166817,0.242205110252727
"1",58,1.06955477932002,-1.79249130188929,0.561844896166872
"1",59,0.839095278883585,0.236605945750286,0.126546413922897
"1",60,0.59958823722698,0.0836276566419279,1.031434143539
"1",61,0.232796897926435,-0.918049991721206,1.54504222015705
"1",62,0.55441437238223,0.442639923739933,1.56927308923381
"1",63,0.233075661628889,1.45200929793855,1.84647538947391
"1",64,0.109156137052733,0.762420906012105,1.75006490027194
"1",65,0.126040916811758,0.250979871412599,1.43635443201596
"1",66,-0.0388062767385743,0.0409867288558591,0.866160685055795
"1",67,0.142766184933178,0.0412013771391043,0.637678528308428
"1",68,0.158898836844657,0.709194136111832,1.34731810897004
"1",69,0.0933399508606128,1.31586429390337,1.59375900507696
"1",70,-0.101686601244504,1.61817857205186,1.57808333177737
"1",71,0.175196021388251,0.846903413794568,1.88023895500061
"1",72,-0.123666773918627,0.238833428950567,1.42852074500071
"1",73,-0.195441339623612,0.677125629309044,1.40223168120085
"1",74,-0.247249028255673,1.10795078125856,1.11026860146804
"1",75,0.263329470229883,0.655155649410744,1.32037412051615
"1",76,0.48774490815584,0.644079901604825,1.66355709972835
"1",77,0.583704399490234,0.481486043903138,1.70810312048326
"1",78,0.801185629299516,-0.410959179001798,0.455685107811747
"2",0,-2.71582467305716,1.72956100779017,0.193449962820581
"2",1,-1.66790503677868,1.4556776743491,-0.0750987194706561
"2",2,-0.720923680504319,1.63171409719412,-0.175952422679937
"2",3,-0.345659973219956,0.413607067560238,0.108959655462603
"2",4,-0.120024875240777,0.676416905929636,-0.0997085198147468
"2",5,0.161685676543133,0.813771320505434,-0.150122247400735
"2",6,0.28537548663178,-0.175795577352335,0.172751779099599
"2",7,0.42793423577825,0.868597289501133,0.422545749569095
"2",8,0.091317300954029,0.100427038838834,0.606604124502345
"2",9,0.210471263135147,-0.107658842573208,0.785392039043403
"2",10,0.256298277530615,-0.22829928628344,0.653255052232742
"2",11,0.28537548663178,0.932658283043043,0.558517560451416
"2",12,0.194556691506081,-0.107658842573208,0.386620258760027
"2",13,0.109532983131033,-0.572256419194534,0.130514342370276
"2",14,0.053513712330617,-0.721777730479649,0.293018030395866
"2",15,-0.837448373143316,-0.158565339784485,0.234041596317226
"2",16,0.0338784724946334,-0.593012891452254,0.172751779099599
"2",17,0.379148649186237,-0.835066257563949,0.0424521705429347
"2",18,0.837335329177951,-0.00920295899392645,-0.369808259330088
"2",19,0.857675055766933,-1.47697261140762,-0.625510327668756
"2",20,1.18831054601555,-1.81062346882527,-0.974214529448288
"2",21,1.08675494116597,-3.58435421676634,-0.770981803216099
"2",22,1.20960531282159,-2.52569390770248,-0.150122247400735
"2",23,0.957776684627248,-2.62713431562216,0.0196387723106712
"2",24,1.11583215026713,-2.38168880362069,0.47493132602869
"2",25,1.00325892627729,-2.03773167070959,0.130514342370276
"2",26,0.857675055766933,-1.35633216769739,0.404686240606872
"2",27,0.75769181597988,-1.2141627730382,0.457663857242138
"2",28,0.633492801270261,-0.954415810478938,0.799407290162881
