t;R;G;B
0;0.00522154758637328;37.7367268929784;10.6443255835749
1;0.006627348859638;51.593710043446;9.40862626438436
2;0.378963857518713;34.6461732081055;8.04901560439414
3;0.998922219023839;33.782207911314;9.16401684283811
4;3.22671557962525;48.0099209404141;9.907284058883
5;5.94955181716551;21.6607868470555;8.67118308218583
6;12.3837034160971;15.2288443644105;8.30125651856663
7;16.0964245787617;20.3025819883385;11.0244944136135
8;16.9642056218662;20.1806789350721;13.6242226253674
9;17.7082761529244;19.5639338336201;13.9971616202864
10;18.8232773913684;23.2766549962847;13.8748569095133
11;11.0311217624731;22.5364002115396;17.7114894129776
12;12.0228141463774;22.4144971582731;16.8477249449395
13;7.81766088056715;23.0340538622716;15.9827555043814
14;7.69595865605399;22.7886411257121;21.3041149811556
15;10.5427062343939;23.2848889751709;20.8106787342433
16;9.06018837737062;25.1423541146464;23.039275409858
17;8.93808449535082;18.9584351423541;22.2992214538663
18;12.5262918309558;20.1967452353378;17.2276929462248
19;8.07432002731272;23.1676049832308;16.1161057965872
20;8.3237493389387;19.0867647157269;14.3857652579645
21;12.1599801848963;22.0568211486066;13.6445063294529
22;24.2860203104812;22.3064512889859;4.98718043124629
23;33.0708724670474;10.1846285672207;12.4114177840555
24;50.3911474685536;15.1334507065825;4.12341596320817
25;45.9389748361572;14.3929950930841;5.11470668960577
26;46.4356243431226;13.8999605036785;6.97217182908136
27;47.0559843621344;11.5508665760706;5.61276199784443
28;60.5418359764629;9.44899284380209;3.26346724148318
29;45.6977795034174;4.13104745583442;5.3681525762982
30;52.5030626384882;2.40050608845839;9.20458425100917
31;55.2260997047817;7.35013154283344;14.7727622656161
32;41.4952370114004;8.71215214786352;15.5164311391676
33;34.4449427972768;8.21871590095126;18.1153560359082
34;48.301725118991;7.72487799653237;13.9104035988513
35;40.2619476372497;7.85019513860532;11.9330436936424
36;52.8816248385002;9.83036664636064;13.9128135438911
37;47.3158567689331;11.4400091042368;18.6152188029267
38;42.2449307475516;10.6989510044785;16.6370555827046
39;34.452574289903;11.9372610974622;17.8755665044417
40;26.5363064914547;13.1755711904459;22.0827280577851
41;19.7336341301772;15.7748977446931;18.7439500338062
42;14.7876235933619;19.8599554160168;19.1178931724918
43;12.1917111279212;22.0885520916315;18.872279607179
44;9.2240646400814;26.9144670339601;23.0796419892757
45;8.11287914795055;24.8139991029649;17.8862104283677
46;7.49633487525188;26.9188852665332;16.0325610352053
47;8.36411591835643;23.828130752907;20.8590784637939
48;3.91194328596006;25.6849934061226;21.8503691901915
49;3.29580067076803;27.6665707151512;16.6565359717769
50;5.15346663899693;20.122639425362;15.7927715037388
51;8.98949665620127;26.6803007075866;16.9071702559228
52;10.2290117217049;22.6000629263427;18.5178168575656
53;8.37536232854246;26.5612092568667;15.5513753422457
54;9.73858790609248;20.8725339902665;12.2129989757734
55;11.3486320214753;23.8431929094061;14.8125263587739
56;17.0405205481286;16.5456784999431;14.3188892831083
57;21.8670379767173;9.24896740549333;10.3623620139107
58;19.7653650732021;8.26068911039557;12.7142675440652
59;14.5713310260341;20.5094356042602;9.62311137293231
60;10.6144020993299;19.15042743053;17.1710592377879
61;6.53376266057933;12.2240445572061;23.8526318608123
62;9.99866114164453;22.4934228583287;24.225370026978
63;6.5361726056192;35.3603202549186;28.927373628507
64;5.54789431052141;25.9595263119138;27.1966314323776
65;5.67321145259436;20.6419825814528;22.2500184093024
66;4.56162430295687;18.7879315307837;15.4477477055315
67;5.8001352246939;18.7897389895636;13.346476459523
68;5.92525153801354;25.3476011005416;21.0177331789183
69;5.43302026362122;33.2672829877963;24.6079488020565
70;4.19752177318401;38.0942020738916;24.3623352367436
71;6.05438442639961;26.9612601334842;29.5591808864581
72;4.07722534994411;20.5299201370991;22.138759279962
73;3.70790127258486;24.9859085158086;21.7694352026027
74;3.46228770727201;30.307468821336;18.0595256424847
75;6.80307401878419;24.741098265509;20.6584505392252
76;9.15457789143198;24.6185927259826;25.7319873344
77;10.393691299429;22.8884530161132;26.4760578654581
78;13.8585897804942;15.3431159250507;11.8792215877521
