"estimate","N:Z","Z:Z","T1:Z","T2:Z","F:Z"
"mid","0.024","-0.233","-0.046","0.205","-0.082"
"low","0.023","-0.234","-0.047","0.204","-0.083"
"high","0.028","-0.23","-0.043","0.209","-0.075"
