"estimate","N:N","Z:N","T1:N","T2:N","F:N"
"mid","-0.212","0.099","0.083","-0.213","-0.136"
"low","-0.212","0.099","0.083","-0.214","-0.137"
"high","-0.212","0.099","0.084","-0.213","-0.136"
