"estimate","N:Z","Z:Z","E1:Z","E2:Z","F:Z"
"mid","0.151","-0.664","-0.185","0.582","-0.238"
"low","0.142","-0.674","-0.188","0.582","-0.242"
"high","0.158","-0.657","-0.178","0.588","-0.202"
