"estimate","N:N","Z:N","E1:N","E2:N","F:N"
"mid","-0.624","0.055","0.224","-0.367","-0.44"
"low","-0.625","0.054","0.222","-0.37","-0.444"
"high","-0.622","0.057","0.224","-0.367","-0.438"
