"Year"	"Mean.temp"	"Sd.temp"	"Min.temp"	"Max.temp"	"Rain"	"A_Seldiff"	"B_Seldiff"	"C_Seldiff"	"D_Seldiff"	"E_Seldiff"	"F_Seldiff"	"G_Seldiff"	"H_Seldiff"	"I_Seldiff"	"J_Seldiff"	"K_Seldiff"	"L_Seldiff"	"A_H.rate"	"B_H.rate"	"C_H.rate"	"D_H.rate"	"E_H.rate"	"F_H.rate"	"G_H.rate"	"H_H.rate"	"I_H.rate"	"J_H.rate"	"K_H.rate"	"L_H.rate"	"A_Selint"	"B_Selint"	"C_Selint"	"D_Selint"	"E_Selint"	"F_Selint"	"G_Selint"	"H_Selint"	"I_Selint"	"J_Selint"	"K_Selint"	"L_Selint"
2012	4.70545555555556	5.87099087674894	-16.05	20.61	0	-54.9776923076923	0	2.89118993135011	-63.0216330513988	1.62317358270018	-69.0988700564972	-64.1409330470428	1.74419155998103	2.27687809266756	-61.427370030581	-55.4774995292789	1.45389610389611	0.584	0	0.031578947368421	0.543103448275862	0.0169491525423728	0.567796610169492	0.568807339449541	0.0263157894736842	0.0256410256410257	0.559633027522936	0.584070796460177	0.0178571428571429	-0.854079113449705	0	0.0371000519501851	-0.803666228491924	0.0194422638449293	-0.633161198231668	-0.82037777662085	0.0256463824107724	0.0317513639004098	-0.787602098583329	-0.848823750903578	0.0187736950375288
2012	13.4656840417224	6.63961857008779	-4.966	39.14	9.6	3.44206773618538	0	0	5.42990506329119	3.22803598200898	2.39237288135598	2.22188782489741	0	0	1.71154640879411	0	0	0.0294117647058824	0	0	0.0125	0.00862068965517238	0.0166666666666667	0.0116279069767442	0	0	0.0180180180180181	0	0	0.0178779497246913	0	0	0.027095316509765	0.0161381379115207	0.0110512162574902	0.0135755816982371	0	0	0.0096789191867035	0	0
2013	3.23756004511677	4.78550417948327	-11.22	16.91	0.4	-204.658153846154	0	0.239767751760894	-150.36	9.95737577639756	-263.544392523364	-130.184523809524	4.89126092384521	4.60260391782134	-187.088421052632	-132.780952380952	-0.736101578586158	0.792	0	0.00970873786407767	0.733333333333333	0.0260869565217391	0.813084112149533	0.833333333333333	0.0111111111111111	0.0108695652173914	0.736842105263158	0.734597156398104	0.0106382978723404	-1.02297497115282	0	0.00279787330756309	-0.810683655257187	0.0508166444270227	-1.32973929658007	-0.839219065487591	0.0449981590528967	0.0373303936845805	-1.10614510013796	-0.786300258717876	-0.00991432374519061
2013	14.984957468127	6.41242066222374	-5.081	35.1	106.4	0.807008086253376	0	-0.222800217598262	0	0	2.60060362173039	0	0	0	0	0	0	0.00943396226415094	0	0.0058139534883721	0	0	0.0140845070422535	0	0	0	0	0	0	0.00681425760256082	0	-0.00111508872234624	0	0	0.0166920240086101	0	0	0	0	0	0
2014	5.85244967932906	4.5738573259122	-8.86	21.75	23	-78.8787878787879	3.28953771289537	0	-59.7823129251701	0	-146.938095238095	-155.760368663594	0	0.190049377415193	-126.062195121951	-203.542056074766	0	0.545454545454545	0.00724637681159424	0	0.693877551020408	0	0.7	0.774193548387097	0	0.00729927007299269	0.75609756097561	0.906542056074766	0	-0.73637146298518	0.0219088375407057	0	-0.870473032528679	0	-1.01518292433097	-1.07740963855101	0	0.00241531471223166	-1.04799814517258	-1.50168939416307	0
2014	14.8442634364688	5.89583566957746	-3.318	34.84	370.8	0	0	1.99106263727936	2.07365967365968	0	0.876284007962795	1.36449204803631	4.2093023255814	0.165513833992122	0	0	0	0	0	0.00613496932515334	0.0151515151515151	0	0.00363636363636366	0.0126582278481012	0.0116279069767442	0.0160427807486631	0	0	0	0	0	0.0141928194135346	0.0205700050633359	0	0.0042192064082315	0.010932016066566	0.0329714872378129	0.00130438692511799	0	0	0
2015	3.48589321692411	4.06171188931325	-5.909	13.68	19.2	-159.087700534759	-6.98655450100665	1.44935064935061	-113.437158469945	-0.865562336530104	-217.153228346457	-203.649350649351	0.416666666666686	-8.81970357454225	-135.755555555556	-151.449026345934	-4.82035647279548	0.870588235294118	0.173913043478261	0.214285714285714	0.754098360655738	0.166666666666667	0.803149606299213	0.87012987012987	0.357142857142857	0.162162162162162	0.925925925925926	0.907216494845361	0.365853658536585	-1.78682396564987	-0.0387945237360126	0.0107457041594539	-1.10496494120087	-0.00728763236036656	-1.08314749739964	-1.5684778474539	0.00368086583900489	-0.0710425756290136	-1.44698378513553	-1.40826908708231	-0.0433492188760368
2015	14.8396491150528	6.98756600988975	-4.49	39.41	156.4	0.613260715131446	0.734046256773581	0.870483333852036	0.0900952380952447	1.09639565503625	0	0	0	0.349388785543454	0	0	0	0.00485436893203883	0.00274725274725274	0.00393700787401574	0.00793650793650791	0.0120967741935484	0	0	0	0.00469483568075113	0	0	0	0.00761122063954986	0.00432991294064267	0.00609213395794463	0.000732507004621071	0.00738171101762058	0	0	0	0.00415211051885035	0	0	0
2016	6.64572023829787	4.59771666558181	-6.943	18.27	0	-77.0764099454215	-1.2292674863865	0	-118.839967340274	-0.0866209880995257	-109.689982216953	-109.903174603175	-1.19479114956386	0	-123.924242424242	-154.583333333333	0	0.912820512820513	0.0060422960725075	0	0.892018779342723	0.00423728813559321	0.941908713692946	0.801587301587302	0.0125523012552301	0	0.909090909090909	0.900826446280992	0	-0.991663498451347	-0.00788946468832122	0	-0.883813132536693	-0.000568649586314288	-1.30814079110909	-1.05446624920909	-0.00888633057764176	0	-1.32404869349038	-1.31210932144165	0
2016	14.7731557234745	7.21074552027069	-3.732	39.39	59.8	3.20358133463859	6.29422145328721	6.38951233289401	24.5179487179487	13.5268575851393	2.56289592760183	2.65822201750348	6.21572534914617	6.50632801758204	68.0555555555555	-186.619047619048	17.0492753623188	0.0482456140350878	0.0366666666666666	0.0382978723404256	0.133333333333333	0.0456140350877193	0.0659340659340659	0.0824175824175825	0.0433070866141733	0.045016077170418	0.244444444444444	0.333333333333333	0.08	0.0323295704802078	0.0469693736733991	0.0596560771935142	0.184063853993515	0.0690509179286583	0.0174479333612372	0.0179039796132238	0.044795072473171	0.0363857359529063	0.315387959110978	-0.41665439135228	0.0872664049610725
2017	4.5482396234632	5.57402699190615	-11.23	22.78	14.4	-101.26568627451	1.4207463197535	0	-101.790178571429	0	-129.907770515614	-133.685781354795	0	1.59392701525053	-35.6363636363636	0	-0.106578220011045	0.901960784313726	0.00393700787401574	0	0.671875	0.00398406374501992	0.790123456790123	0.704225352112676	0	0.00735294117647056	0.181818181818182	0	0.00740740740740742	-1.16734601168145	0.0152621122002745	0	-0.861115795296086	0	-0.975330558983147	-0.923067228871106	0	0.00957898340932307	-0.185067402699314	0	-0.000612276230268878
2017	16.1627708518519	7.85782947555736	-5.983	40.26	0	-11.0381818181818	-4.60058914159356	-4.05773846094772	-8.95359531772576	-5.55042106613089	-7.19442041522491	-7.41452658884566	-5.78846634281746	-2.99246499524207	-9.26664175851545	-17.9077496060736	-14.4938229076959	0.0545454545454546	0.0386740331491713	0.0323275862068966	0.0416666666666666	0.0507936507936508	0.0588235294117647	0.066147859922179	0.0472727272727272	0.0515021459227468	0.0471698113207547	0.0820512820512821	0.090566037735849	-0.0960712484721425	-0.0308648127840126	-0.02392466942843	-0.0786356122275948	-0.031134101893537	-0.0799062059384316	-0.056907449587741	-0.0420227537593274	-0.0212872945391659	-0.0660099828759614	-0.128946556070613	-0.0760413826712125
2018	8.89711900106648	4.0634460233985	-10.79	20.96	0	-109.247539580659	4.69439124487005	1.82132526452006	-89.7403087478559	-15.4508040726996	-89.1432748538012	-136.181053502482	-1.96616143095792	-10.1727191108634	-153.260070289267	-98.6590909090909	-15.447903462962	0.820175438596491	0.209302325581395	0.132183908045977	0.792452830188679	0.176991150442478	0.789473684210526	0.811224489795918	0.168724279835391	0.126126126126126	0.901459854014598	0.694444444444444	0.257668711656442	-1.25938391043454	0.0320772323380402	0.0120881602268656	-1.0068575964243	-0.0924746092434082	-1.08684062390582	-1.1142113690303	-0.0147423902823619	-0.056664072655062	-1.30112431121815	-0.925999923520805	-0.0931526618992947
2018	18.9279443567581	7.51041917327694	0.719	41.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
